@relation penbased-5
@attribute At1 integer [0, 100]
@attribute At2 integer [0, 100]
@attribute At3 integer [0, 100]
@attribute At4 integer [0, 100]
@attribute At5 integer [0, 100]
@attribute At6 integer [0, 100]
@attribute At7 integer [0, 100]
@attribute At8 integer [0, 100]
@attribute At9 integer [0, 100]
@attribute At10 integer [0, 100]
@attribute At11 integer [0, 100]
@attribute At12 integer [0, 100]
@attribute At13 integer [0, 100]
@attribute At14 integer [0, 100]
@attribute At15 integer [0, 100]
@attribute At16 integer [0, 100]
@attribute Class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@inputs At1, At2, At3, At4, At5, At6, At7, At8, At9, At10, At11, At12, At13, At14, At15, At16
@outputs Class
@data
0, 85, 38, 100, 81, 88, 87, 50, 84, 12, 58, 0, 53, 22, 100, 24, 7
50, 84, 66, 100, 75, 75, 51, 51, 100, 42, 97, 13, 49, 0, 0, 7, 3
0, 98, 36, 100, 80, 85, 68, 42, 56, 0, 25, 23, 50, 37, 100, 32, 7
18, 73, 0, 73, 10, 24, 54, 0, 100, 22, 95, 71, 52, 100, 5, 84, 0
57, 63, 100, 100, 0, 91, 36, 53, 95, 16, 2, 0, 5, 36, 91, 67, 8
90, 71, 100, 100, 25, 85, 10, 50, 80, 62, 99, 53, 64, 17, 0, 0, 9
31, 73, 55, 100, 55, 53, 33, 14, 0, 0, 30, 11, 65, 1, 100, 1, 2
38, 51, 8, 66, 0, 19, 42, 0, 87, 26, 100, 71, 61, 100, 16, 84, 0
22, 100, 1, 66, 0, 33, 50, 32, 100, 36, 82, 63, 77, 30, 71, 0, 4
0, 87, 37, 100, 19, 70, 5, 42, 88, 49, 100, 58, 84, 28, 88, 0, 4
44, 66, 67, 100, 80, 62, 47, 25, 5, 0, 0, 3, 50, 4, 100, 7, 2
14, 94, 4, 63, 43, 36, 36, 0, 10, 27, 0, 72, 47, 92, 100, 100, 5
100, 98, 60, 100, 29, 73, 10, 41, 6, 6, 46, 0, 46, 27, 0, 30, 6
0, 63, 41, 77, 79, 94, 100, 100, 85, 74, 75, 48, 71, 22, 82, 0, 1
13, 80, 53, 71, 100, 100, 23, 99, 0, 71, 81, 74, 74, 40, 47, 0, 9
39, 62, 78, 88, 79, 100, 57, 64, 38, 30, 0, 0, 34, 4, 100, 0, 1
100, 100, 59, 79, 26, 54, 2, 28, 1, 0, 58, 0, 58, 21, 0, 19, 6
0, 87, 55, 100, 100, 81, 74, 41, 49, 0, 20, 10, 32, 32, 99, 35, 7
34, 76, 0, 41, 7, 0, 62, 0, 100, 33, 95, 74, 49, 100, 0, 83, 0
