@relation penbased-4
@attribute At1 integer [0, 100]
@attribute At2 integer [0, 100]
@attribute At3 integer [0, 100]
@attribute At4 integer [0, 100]
@attribute At5 integer [0, 100]
@attribute At6 integer [0, 100]
@attribute At7 integer [0, 100]
@attribute At8 integer [0, 100]
@attribute At9 integer [0, 100]
@attribute At10 integer [0, 100]
@attribute At11 integer [0, 100]
@attribute At12 integer [0, 100]
@attribute At13 integer [0, 100]
@attribute At14 integer [0, 100]
@attribute At15 integer [0, 100]
@attribute At16 integer [0, 100]
@attribute Class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@inputs At1, At2, At3, At4, At5, At6, At7, At8, At9, At10, At11, At12, At13, At14, At15, At16
@outputs Class
@data
47, 100, 27, 81, 57, 37, 26, 0, 0, 23, 56, 53, 100, 90, 40, 98, 8
0, 100, 7, 92, 5, 68, 19, 45, 86, 34, 100, 45, 74, 23, 67, 0, 4
24, 66, 43, 100, 59, 65, 34, 28, 0, 1, 16, 11, 58, 0, 100, 1, 2
0, 73, 19, 99, 72, 100, 70, 73, 32, 48, 5, 18, 46, 0, 100, 0, 2
40, 99, 51, 66, 79, 26, 39, 0, 0, 27, 8, 77, 46, 100, 100, 94, 5
0, 98, 36, 100, 80, 85, 68, 42, 56, 0, 25, 23, 50, 37, 100, 32, 7
30, 86, 67, 100, 77, 77, 53, 50, 78, 40, 100, 17, 56, 0, 0, 5, 3
1, 88, 0, 54, 59, 31, 36, 0, 11, 28, 4, 68, 28, 97, 100, 100, 5
56, 99, 18, 72, 0, 24, 36, 0, 85, 23, 100, 69, 58, 100, 19, 74, 0
12, 78, 40, 100, 74, 77, 52, 41, 13, 14, 0, 17, 50, 8, 100, 0, 2
38, 94, 4, 63, 0, 20, 41, 0, 84, 19, 100, 60, 77, 98, 32, 100, 0
72, 100, 38, 88, 2, 57, 0, 19, 51, 0, 100, 20, 55, 34, 12, 7, 6
21, 88, 0, 57, 88, 58, 88, 18, 15, 0, 8, 42, 12, 83, 100, 100, 5
0, 65, 38, 79, 62, 100, 72, 86, 77, 65, 79, 43, 83, 21, 100, 0, 1
43, 94, 15, 66, 52, 38, 20, 0, 5, 35, 0, 83, 42, 100, 100, 98, 5
0, 88, 24, 68, 76, 33, 43, 0, 29, 32, 84, 66, 100, 100, 8, 89, 8
44, 66, 67, 100, 80, 62, 47, 25, 5, 0, 0, 3, 50, 4, 100, 7, 2
100, 100, 59, 79, 26, 54, 2, 28, 1, 0, 58, 0, 58, 21, 0, 19, 6
83, 86, 44, 100, 0, 74, 58, 67, 100, 94, 89, 63, 77, 31, 75, 0, 9
0, 97, 43, 100, 58, 62, 41, 17, 26, 0, 8, 36, 54, 34, 100, 33, 7
47, 100, 19, 67, 0, 30, 20, 0, 68, 5, 100, 33, 91, 72, 50, 88, 0
27, 100, 0, 74, 40, 54, 100, 59, 84, 91, 57, 64, 43, 32, 33, 0, 4
48, 95, 94, 100, 100, 73, 75, 47, 41, 25, 0, 5, 41, 1, 94, 0, 2
36, 90, 86, 100, 87, 73, 47, 49, 92, 44, 100, 16, 53, 0, 0, 1, 3
0, 89, 47, 100, 89, 87, 74, 61, 45, 37, 15, 14, 43, 0, 100, 1, 2
34, 76, 0, 41, 7, 0, 62, 0, 100, 33, 95, 74, 49, 100, 0, 83, 0
52, 80, 84, 100, 100, 75, 58, 53, 91, 48, 89, 10, 44, 0, 0, 16, 3
77, 100, 53, 90, 0, 43, 13, 0, 86, 34, 100, 84, 73, 51, 10, 9, 0
49, 54, 100, 78, 65, 100, 0, 82, 12, 60, 90, 64, 95, 33, 86, 0, 9
100, 100, 14, 90, 74, 55, 79, 97, 37, 62, 0, 39, 36, 0, 39, 44, 8
34, 79, 66, 100, 83, 72, 52, 51, 100, 49, 91, 13, 43, 0, 0, 14, 3
36, 63, 0, 67, 53, 84, 100, 100, 83, 74, 66, 47, 53, 21, 51, 0, 1
43, 99, 8, 68, 73, 74, 62, 25, 0, 0, 7, 49, 20, 96, 100, 100, 5
100, 100, 57, 78, 25, 53, 12, 26, 30, 0, 88, 7, 65, 28, 0, 21, 6
100, 100, 51, 85, 18, 58, 0, 28, 17, 0, 78, 1, 68, 20, 8, 12, 6
21, 85, 8, 46, 61, 47, 39, 0, 0, 13, 11, 66, 35, 98, 100, 100, 5
0, 36, 35, 56, 68, 78, 100, 100, 94, 76, 80, 51, 70, 25, 70, 0, 1
51, 100, 21, 77, 2, 49, 0, 20, 45, 0, 100, 17, 51, 27, 4, 7, 6
100, 100, 62, 86, 30, 66, 7, 41, 0, 12, 36, 0, 59, 18, 17, 25, 6
0, 72, 62, 95, 74, 100, 69, 74, 72, 49, 79, 23, 51, 0, 100, 0, 1
0, 92, 39, 100, 67, 79, 50, 37, 24, 0, 17, 22, 52, 41, 100, 46, 7
0, 79, 31, 94, 68, 100, 100, 88, 94, 62, 74, 39, 51, 18, 64, 0, 2
15, 90, 57, 100, 82, 85, 60, 62, 100, 47, 86, 23, 44, 8, 0, 0, 3
35, 96, 100, 100, 44, 93, 0, 73, 27, 60, 85, 46, 76, 17, 21, 0, 5
100, 82, 76, 100, 57, 78, 99, 87, 92, 68, 67, 40, 38, 14, 0, 0, 9
100, 77, 58, 100, 16, 69, 0, 27, 40, 0, 93, 15, 95, 58, 53, 89, 0
27, 100, 0, 64, 4, 8, 63, 0, 100, 46, 73, 96, 12, 79, 0, 25, 0
100, 100, 50, 76, 0, 36, 76, 35, 99, 62, 89, 96, 80, 45, 72, 0, 4
0, 75, 8, 100, 40, 91, 28, 59, 7, 31, 13, 8, 56, 5, 100, 0, 2
0, 90, 46, 100, 100, 98, 87, 76, 56, 56, 74, 34, 56, 12, 8, 0, 3
45, 70, 77, 35, 58, 0, 0, 10, 48, 42, 100, 71, 84, 100, 26, 81, 8
29, 75, 29, 85, 100, 100, 85, 81, 59, 61, 38, 41, 15, 20, 0, 0, 1
6, 100, 0, 80, 32, 54, 100, 59, 99, 99, 72, 77, 60, 38, 43, 0, 4
13, 95, 17, 66, 83, 35, 77, 0, 0, 14, 42, 49, 100, 81, 34, 100, 8
15, 73, 42, 100, 32, 72, 27, 39, 44, 7, 100, 0, 52, 5, 0, 3, 1
