@relation penbased-4
@attribute At1 integer [0, 100]
@attribute At2 integer [0, 100]
@attribute At3 integer [0, 100]
@attribute At4 integer [0, 100]
@attribute At5 integer [0, 100]
@attribute At6 integer [0, 100]
@attribute At7 integer [0, 100]
@attribute At8 integer [0, 100]
@attribute At9 integer [0, 100]
@attribute At10 integer [0, 100]
@attribute At11 integer [0, 100]
@attribute At12 integer [0, 100]
@attribute At13 integer [0, 100]
@attribute At14 integer [0, 100]
@attribute At15 integer [0, 100]
@attribute At16 integer [0, 100]
@attribute Class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@inputs At1, At2, At3, At4, At5, At6, At7, At8, At9, At10, At11, At12, At13, At14, At15, At16
@outputs Class
@data
57, 63, 100, 100, 0, 91, 36, 53, 95, 16, 2, 0, 5, 36, 91, 67, 8
0, 75, 31, 72, 67, 84, 100, 100, 94, 82, 80, 54, 68, 27, 56, 0, 1
32, 100, 12, 76, 0, 48, 1, 21, 39, 0, 100, 9, 64, 21, 18, 3, 6
16, 90, 9, 61, 50, 35, 23, 0, 5, 35, 0, 81, 48, 97, 100, 100, 5
14, 91, 9, 52, 28, 10, 74, 0, 100, 38, 86, 81, 43, 100, 0, 80, 0
100, 70, 58, 100, 10, 75, 0, 24, 48, 0, 100, 19, 97, 68, 45, 81, 0
73, 85, 31, 65, 0, 0, 52, 9, 100, 57, 82, 100, 81, 78, 38, 25, 0
2, 78, 46, 99, 100, 100, 77, 76, 94, 38, 94, 0, 41, 3, 0, 28, 3
0, 52, 52, 83, 97, 100, 91, 55, 84, 10, 21, 0, 21, 7, 100, 7, 1
0, 59, 77, 74, 100, 100, 17, 93, 7, 71, 82, 68, 45, 35, 20, 0, 9
13, 100, 0, 76, 28, 53, 94, 56, 100, 76, 93, 66, 94, 33, 91, 0, 4
48, 100, 15, 83, 0, 39, 23, 1, 71, 0, 100, 34, 86, 77, 44, 98, 0
26, 74, 19, 49, 64, 21, 20, 0, 1, 25, 0, 64, 45, 87, 100, 100, 5
0, 48, 28, 64, 61, 82, 92, 100, 100, 84, 86, 56, 73, 28, 64, 0, 1
0, 96, 40, 100, 60, 66, 58, 27, 41, 0, 20, 35, 54, 42, 100, 46, 7
65, 96, 81, 66, 100, 100, 40, 92, 71, 64, 93, 45, 65, 5, 0, 0, 9
