@relation glass
@attribute RI real [1.51115, 1.53393]
@attribute Na real [10.73, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.81, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.43, 16.19]
@attribute Ba real [0.0, 3.15]
@attribute Fe real [0.0, 0.51]
@attribute TypeGlass {1, 2, 3, 4, 5, 6, 7}
@inputs RI, Na, Mg, Al, Si, K, Ca, Ba, Fe
@outputs TypeGlass
@data
1.51588824, 12.87795, 3.43036, 1.40066, 73.282, 0.68931, 8.04468, 0.0, 0.1224, 1
1.51215232, 12.991, 3.47077, 1.12139, 72.9796, 0.621, 8.34596, 0.0, 0.1581, 1
1.51720948, 13.3767, 3.5022, 1.15028, 72.8508, 0.50301, 8.43204, 0.0, 0.0, 1
1.51761952, 12.79815, 3.65935, 1.26905, 73.0076, 0.60237, 8.56116, 0.0, 0.0, 1
1.51777898, 13.21045, 3.38995, 1.33004, 72.7612, 0.58995, 8.59344, 0.0, 0.0, 1
1.5215149, 13.05085, 3.65037, 0.87101, 72.3188, 0.19251, 9.85236, 0.0, 0.0867, 1
1.5215149, 13.11735, 3.57853, 0.8999, 72.2012, 0.22977, 9.82008, 0.0, 0.0816, 1
1.5170728, 13.7225, 3.6818, 1.81154, 72.0612, 0.63963, 7.88328, 0.0, 0.0, 2
1.51689056, 13.33015, 3.53812, 1.60931, 72.5428, 0.6831, 8.10924, 0.0, 0.0, 2
1.51846238, 13.0974, 3.96916, 1.1888, 72.442, 0.60237, 8.43204, 0.0, 0.0, 2
1.51632106, 13.3368, 3.56955, 1.57079, 72.8676, 0.60858, 7.89404, 0.0, 0.0, 2
1.51841682, 12.93115, 3.74017, 1.10855, 72.2796, 0.63963, 8.95928, 0.0, 0.1122, 2
1.53393, 12.2994, 0.0, 0.99941, 70.1628, 0.11799, 16.19, 0.0, 0.1224, 2
1.51846238, 13.40995, 3.88834, 1.33004, 72.3804, 0.50922, 8.2814, 0.0, 0.0, 2
1.51777898, 13.6427, 3.65037, 0.64952, 73.002, 0.0621, 8.927, 0.0, 0.0, 3
1.52042146, 13.3767, 0.0, 1.40066, 72.2516, 0.32913, 12.49932, 0.0, 0.0, 5
1.52171992, 11.56125, 1.88131, 1.56116, 72.862, 0.47196, 11.41256, 0.0, 0.0, 5
1.5165033, 14.38085, 0.0, 1.93994, 73.6124, 0.0, 8.47508, 1.5687, 0.0, 7
1.51622994, 14.2013, 0.0, 2.79059, 73.4612, 0.03726, 9.04536, 0.40005, 0.459, 7
1.51818902, 13.7225, 0.0, 0.55964, 74.4524, 0.0, 10.99292, 0.0, 0.0, 2
1.51916856, 14.1481, 0.0, 2.09081, 72.7388, 0.0, 10.88532, 0.0, 0.0, 6
