@relation ring-1
@attribute A1 real [-6879.0, 6285.0]
@attribute A2 real [-7141.0, 6921.0]
@attribute A3 real [-7734.0, 7611.0]
@attribute A4 real [-6627.0, 7149.0]
@attribute A5 real [-7184.0, 6383.0]
@attribute A6 real [-6946.0, 6743.0]
@attribute A7 real [-7781.0, 6285.0]
@attribute A8 real [-6882.0, 6357.0]
@attribute A9 real [-7184.0, 7487.0]
@attribute A10 real [-7232.0, 6757.0]
@attribute A11 real [-7803.0, 7208.0]
@attribute A12 real [-7395.0, 6791.0]
@attribute A13 real [-7096.0, 6403.0]
@attribute A14 real [-7472.0, 7261.0]
@attribute A15 real [-7342.0, 7372.0]
@attribute A16 real [-7121.0, 6905.0]
@attribute A17 real [-7163.0, 7175.0]
@attribute A18 real [-8778.0, 6896.0]
@attribute A19 real [-7554.0, 5726.0]
@attribute A20 real [-6722.0, 7627.0]
@attribute Class {0, 1}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14, A15, A16, A17, A18, A19, A20
@outputs Class
@data
2212.0, -1694.0, -533.0, 67.0, -1763.0, 9.0, -882.0, 1158.0, -516.0, 1889.0, -853.0, -1129.0, -134.0, -1822.0, 303.0, -1829.0, -281.0, 3215.0, -505.0, -1286.0, 0
2563.0, -1449.0, 1505.0, -2023.0, -1027.0, 2366.0, 556.0, -1954.0, 4122.0, 2748.0, -1536.0, 3128.0, -151.0, -132.0, 721.0, 2122.0, -2611.0, -2612.0, -473.0, 68.0, 0
1262.0, 518.0, 2864.0, -1292.0, -5078.0, -47.0, 313.0, 417.0, -3454.0, -503.0, 2544.0, 1316.0, 1242.0, -37.0, -2825.0, 198.0, 1296.0, -3698.0, 1378.0, 2362.0, 0
-892.0, 1352.0, 634.0, 35.0, 506.0, 1136.0, -1563.0, 25.0, -308.0, -1812.0, 606.0, 34.0, 978.0, 258.0, 24.0, 146.0, 1302.0, 142.0, 23.0, 718.0, 1
89.0, -74.0, -526.0, 1415.0, -154.0, 489.0, -249.0, 1257.0, 84.0, 655.0, 239.0, 667.0, 836.0, 213.0, -83.0, 1152.0, 1144.0, 2801.0, 2162.0, 1371.0, 1
832.0, 873.0, 238.0, -1591.0, 264.0, -1102.0, 1267.0, -174.0, -18.0, 874.0, -492.0, 66.0, 1956.0, 2323.0, -1366.0, 338.0, -396.0, 1061.0, -792.0, -96.0, 0
-2564.0, -536.0, 739.0, -1377.0, 209.0, -971.0, -66.0, -2061.0, -3636.0, -3053.0, 1958.0, -1382.0, -1562.0, 2082.0, -166.0, -1261.0, 438.0, -3838.0, -559.0, -1433.0, 0
-552.0, 4628.0, -3037.0, 2506.0, -24.0, 722.0, -1148.0, -218.0, -192.0, 618.0, 842.0, 1747.0, 616.0, -206.0, 1191.0, 239.0, 59.0, -4124.0, -2396.0, -96.0, 0
1667.0, -833.0, -2664.0, 571.0, 1571.0, 344.0, 794.0, 36.0, 381.0, 1536.0, -126.0, 747.0, 55.0, 149.0, 1494.0, 1095.0, -58.0, -1314.0, 522.0, -96.0, 1
44.0, 1674.0, -876.0, 974.0, 865.0, 135.0, -175.0, -358.0, -94.0, 1853.0, -428.0, -906.0, -392.0, 1685.0, 884.0, 363.0, 1366.0, -676.0, -15.0, 1507.0, 1
