@relation ring-1
@attribute A1 real [-6879.0, 6285.0]
@attribute A2 real [-7141.0, 6921.0]
@attribute A3 real [-7734.0, 7611.0]
@attribute A4 real [-6627.0, 7149.0]
@attribute A5 real [-7184.0, 6383.0]
@attribute A6 real [-6946.0, 6743.0]
@attribute A7 real [-7781.0, 6285.0]
@attribute A8 real [-6882.0, 6357.0]
@attribute A9 real [-7184.0, 7487.0]
@attribute A10 real [-7232.0, 6757.0]
@attribute A11 real [-7803.0, 7208.0]
@attribute A12 real [-7395.0, 6791.0]
@attribute A13 real [-7096.0, 6403.0]
@attribute A14 real [-7472.0, 7261.0]
@attribute A15 real [-7342.0, 7372.0]
@attribute A16 real [-7121.0, 6905.0]
@attribute A17 real [-7163.0, 7175.0]
@attribute A18 real [-8778.0, 6896.0]
@attribute A19 real [-7554.0, 5726.0]
@attribute A20 real [-6722.0, 7627.0]
@attribute Class {0, 1}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14, A15, A16, A17, A18, A19, A20
@outputs Class
@data
2191.0, 68.0, 452.0, 52.0, 916.0, 1555.0, 736.0, -132.0, 1967.0, -2404.0, 1067.0, 1136.0, 1705.0, 203.0, -542.0, 547.0, -1279.0, 589.0, -1062.0, -896.0, 1
449.0, 985.0, 837.0, -312.0, 4343.0, 94.0, -517.0, -2368.0, -959.0, 896.0, -1683.0, -1285.0, -114.0, -26.0, 1408.0, -1306.0, -1231.0, 1928.0, -2833.0, -1164.0, 0
67.0, 1762.0, 983.0, 605.0, 822.0, 138.0, 107.0, 1678.0, -296.0, -361.0, 192.0, 1324.0, 277.0, -0.0, 2093.0, -408.0, 1708.0, -638.0, -1745.0, 884.0, 1
2891.0, -608.0, -633.0, 2319.0, 3843.0, -335.0, 2522.0, 2787.0, -2532.0, 1289.0, 1971.0, 5856.0, -486.0, -3639.0, -1547.0, 105.0, -1834.0, -325.0, 988.0, -2407.0, 0
-437.0, 1061.0, -742.0, 996.0, 57.0, 646.0, 829.0, 1926.0, 1355.0, -307.0, -29.0, 413.0, 2271.0, 463.0, 1383.0, 792.0, 1119.0, 712.0, 1343.0, 1178.0, 1
3333.0, 1133.0, 1623.0, -1915.0, 2069.0, 2144.0, 457.0, 814.0, 9.0, 97.0, 1708.0, -4284.0, 2354.0, -2837.0, 3227.0, -465.0, -2107.0, 584.0, -875.0, 2097.0, 0
-93.0, 1471.0, -489.0, -2165.0, 258.0, 1071.0, -2552.0, -3047.0, -2402.0, 2695.0, 506.0, -121.0, -1681.0, 1227.0, 3738.0, 1489.0, 3961.0, 1145.0, 2497.0, -1319.0, 0
2345.0, 348.0, 29.0, 534.0, 1.0, 11.0, 2479.0, 372.0, 72.0, -35.0, -213.0, 2139.0, 348.0, 105.0, 395.0, 1098.0, -421.0, 497.0, -19.0, -518.0, 1
403.0, 3661.0, 118.0, 2465.0, -457.0, 1806.0, 684.0, 11.0, 1893.0, 907.0, 1451.0, -42.0, 2218.0, 698.0, -182.0, 1724.0, 211.0, -572.0, -127.0, 509.0, 1
635.0, 1768.0, 894.0, 497.0, 223.0, 1067.0, -619.0, 4.0, 652.0, -521.0, 1297.0, 1062.0, -418.0, -1335.0, 1142.0, 644.0, 2481.0, 125.0, -496.0, 1981.0, 1
335.0, -2282.0, 795.0, -4517.0, 145.0, 139.0, 189.0, 2233.0, -106.0, 1843.0, 4217.0, 1649.0, -655.0, -1661.0, 715.0, 584.0, 109.0, 1126.0, -1131.0, -643.0, 0
2549.0, 76.0, 1593.0, -1015.0, 904.0, -387.0, -908.0, 165.0, 626.0, -503.0, -2519.0, 345.0, -192.0, -1449.0, 687.0, 72.0, 21.0, -145.0, 1224.0, 2462.0, 1
333.0, 3992.0, -457.0, -1014.0, 1787.0, -138.0, -1668.0, 1342.0, 316.0, 348.0, -151.0, -2306.0, -588.0, -95.0, 244.0, 1159.0, -1133.0, -1736.0, 788.0, 1128.0, 0
1428.0, 626.0, 1582.0, 36.0, 746.0, -66.0, -48.0, 23.0, 1596.0, 765.0, -123.0, 426.0, 2061.0, 99.0, 1794.0, 1345.0, 1072.0, -1371.0, 1341.0, -434.0, 1
-2365.0, 1816.0, 4795.0, -1963.0, -671.0, 102.0, 2301.0, -3447.0, 1263.0, -2274.0, -694.0, -3271.0, 2441.0, -247.0, -3499.0, 2217.0, 1802.0, 475.0, -65.0, 3928.0, 0
1091.0, -776.0, 512.0, -634.0, 576.0, 368.0, -808.0, 147.0, 1113.0, 122.0, -163.0, 1438.0, 173.0, 2778.0, 2244.0, -923.0, 622.0, -358.0, -1276.0, 854.0, 1
44.0, 589.0, -291.0, 1113.0, 782.0, -4.0, 115.0, 607.0, 2198.0, -132.0, 426.0, 418.0, 926.0, 892.0, 625.0, 53.0, 552.0, 1519.0, 231.0, 651.0, 1
-321.0, 2073.0, -4109.0, 129.0, 1142.0, -2212.0, 308.0, 1013.0, 125.0, -1912.0, 1785.0, -4759.0, -3959.0, -1147.0, 158.0, -2337.0, 1627.0, -15.0, 3297.0, 68.0, 0
348.0, 31.0, -182.0, -1121.0, 3133.0, -155.0, 854.0, 1067.0, 1829.0, -357.0, 1618.0, -466.0, 51.0, 1214.0, 965.0, 999.0, -428.0, -125.0, -839.0, 338.0, 1
731.0, -406.0, 1525.0, 173.0, 152.0, 1366.0, 421.0, 2115.0, 269.0, -1774.0, -623.0, -658.0, -1556.0, 109.0, 1488.0, -18.0, -573.0, 994.0, 2004.0, 1256.0, 1
103.0, 656.0, 1041.0, 1209.0, -732.0, 1154.0, -1037.0, -642.0, 143.0, 856.0, 66.0, 2426.0, 104.0, 1308.0, 26.0, 128.0, -533.0, 398.0, -598.0, 12.0, 1
54.0, -2384.0, 1309.0, 1048.0, 1881.0, 1601.0, -1025.0, 546.0, 825.0, 368.0, 429.0, 893.0, 2057.0, 424.0, 1488.0, 566.0, 1753.0, 14.0, 479.0, 1257.0, 1
-2393.0, -2546.0, 819.0, 92.0, 414.0, 2632.0, -951.0, -4072.0, 79.0, -171.0, -151.0, -2917.0, -2292.0, 2904.0, 1347.0, -3162.0, 642.0, -1592.0, -2313.0, 512.0, 0
-1429.0, 195.0, 1531.0, 966.0, -1157.0, -13.0, -201.0, 114.0, 223.0, -143.0, 2095.0, 1437.0, -372.0, -2.0, 259.0, 3252.0, -436.0, -1957.0, -1311.0, 1296.0, 0
-3494.0, -1665.0, -1192.0, -4619.0, 643.0, 18.0, -1944.0, -1979.0, 1227.0, -2269.0, -2027.0, -1802.0, -2814.0, 2181.0, 949.0, -2005.0, -407.0, 522.0, 1527.0, -288.0, 0
-466.0, 305.0, 689.0, -403.0, -3628.0, -185.0, -629.0, -2584.0, 976.0, 115.0, 222.0, -245.0, 646.0, 531.0, -528.0, 1863.0, 982.0, 1684.0, 102.0, -2284.0, 0
2088.0, 98.0, 2083.0, 294.0, 854.0, 2774.0, 811.0, -4182.0, 308.0, -237.0, -2576.0, -3113.0, 3023.0, 2928.0, -685.0, -924.0, -1354.0, 1917.0, -1878.0, 2899.0, 0
-1925.0, 4428.0, -106.0, 293.0, -702.0, 3704.0, -3439.0, -126.0, 2636.0, 154.0, -161.0, 12.0, -773.0, 1395.0, -955.0, 1811.0, 2552.0, 563.0, -306.0, -342.0, 0
-156.0, 219.0, 114.0, 258.0, -308.0, 511.0, -1831.0, -3458.0, -1013.0, -3494.0, 1426.0, -82.0, 1447.0, -1423.0, -3498.0, -1071.0, 6424.0, -1237.0, 752.0, 111.0, 0
556.0, -104.0, -364.0, -1305.0, -19.0, -539.0, 1334.0, 817.0, -682.0, -1799.0, -201.0, 62.0, 1716.0, 384.0, -481.0, -2029.0, -585.0, -1017.0, 283.0, 1198.0, 1
54.0, 416.0, 334.0, 1346.0, -63.0, 886.0, 1753.0, -1323.0, -761.0, -1058.0, -257.0, 963.0, -658.0, 13.0, -534.0, 393.0, -284.0, 1944.0, 98.0, 891.0, 1
806.0, 1923.0, -308.0, -1169.0, 632.0, 159.0, 2193.0, 965.0, -784.0, 1153.0, 1683.0, 1267.0, -2047.0, -13.0, 832.0, -469.0, 1869.0, 606.0, 963.0, 266.0, 1
2146.0, 936.0, -965.0, 1083.0, -1152.0, -1372.0, -1139.0, -1036.0, 1675.0, 1346.0, -151.0, 2883.0, 2388.0, -377.0, 1875.0, -2345.0, 142.0, -1603.0, -3774.0, -189.0, 0
1436.0, -602.0, -394.0, 1135.0, -24.0, 463.0, 1339.0, 1696.0, 123.0, 719.0, 1152.0, 378.0, 167.0, 16.0, 58.0, 47.0, 261.0, 517.0, -259.0, 38.0, 1
-352.0, 1171.0, 1479.0, 1801.0, 115.0, -162.0, -1396.0, 111.0, 1147.0, 92.0, -975.0, -1223.0, -618.0, 528.0, 481.0, 3069.0, -83.0, 1968.0, 2051.0, 2725.0, 1
3065.0, -1225.0, -623.0, 891.0, 1129.0, -417.0, 3591.0, 4395.0, 222.0, 3077.0, -3285.0, -1478.0, 876.0, 148.0, -2364.0, -2525.0, -4995.0, 933.0, 978.0, 6.0, 0
