@relation yeast-3
@attribute Mcg real [0.11, 1.0]
@attribute Gvh real [0.13, 1.0]
@attribute Alm real [0.21, 1.0]
@attribute Mit real [0.0, 1.0]
@attribute Erl real [0.5, 1.0]
@attribute Pox real [0.0, 0.83]
@attribute Vac real [0.0, 0.73]
@attribute Nuc real [0.0, 1.0]
@attribute Class {MIT, NUC, CYT, ME1, ME2, ME3, EXC, VAC, POX, ERL}
@inputs Mcg, Gvh, Alm, Mit, Erl, Pox, Vac, Nuc
@outputs Class
@data
0.47, 0.39, 0.5, 0.11, 0.5, 0.0, 0.49, 0.4, CYT
0.51, 0.51, 0.52, 0.51, 0.5, 0.0, 0.54, 0.22, MIT
0.63, 0.67, 0.57, 0.24, 0.5, 0.0, 0.49, 0.22, MIT
0.38, 0.61, 0.61, 0.12, 0.5, 0.0, 0.53, 0.47, CYT
0.74, 0.67, 0.47, 0.34, 0.5, 0.0, 0.42, 0.22, EXC
0.74, 0.75, 0.58, 0.47, 0.5, 0.0, 0.4, 0.35, ME2
0.42, 0.24, 0.34, 0.16, 0.5, 0.0, 0.5, 0.22, ME3
0.61, 0.72, 0.39, 0.33, 0.5, 0.0, 0.58, 0.22, MIT
0.36, 0.58, 0.35, 0.24, 0.5, 0.0, 0.44, 0.22, ME3
0.65, 0.65, 0.52, 0.16, 0.5, 0.0, 0.6, 0.22, CYT
0.44, 0.52, 0.41, 0.23, 0.5, 0.0, 0.51, 0.22, NUC
0.35, 0.52, 0.48, 0.22, 0.5, 0.0, 0.26, 0.22, MIT
0.34, 0.54, 0.5, 0.21, 0.5, 0.0, 0.54, 0.31, CYT
0.42, 0.43, 0.56, 0.1, 0.5, 0.0, 0.49, 0.22, CYT
0.26, 0.5, 0.33, 0.28, 0.5, 0.0, 0.51, 0.22, ME3
0.38, 0.68, 0.44, 0.45, 0.5, 0.0, 0.53, 0.22, MIT
0.31, 0.31, 0.56, 0.33, 0.5, 0.0, 0.52, 0.33, NUC
0.59, 0.5, 0.52, 0.28, 0.5, 0.0, 0.55, 0.25, CYT
0.37, 0.42, 0.51, 0.11, 0.5, 0.0, 0.57, 0.22, CYT
0.61, 0.72, 0.31, 0.33, 0.5, 0.0, 0.56, 0.22, MIT
0.63, 0.56, 0.45, 0.58, 0.5, 0.0, 0.51, 0.22, MIT
0.5, 0.52, 0.6, 0.51, 0.5, 0.0, 0.48, 0.22, MIT
0.35, 0.66, 0.49, 0.21, 0.5, 0.0, 0.54, 0.25, CYT
0.47, 0.46, 0.59, 0.49, 0.5, 0.0, 0.56, 0.22, MIT
0.78, 0.74, 0.58, 0.25, 1.0, 0.0, 0.53, 0.22, ERL
0.56, 0.41, 0.58, 0.21, 0.5, 0.0, 0.42, 0.22, CYT
0.37, 0.53, 0.6, 0.19, 0.5, 0.5, 0.42, 0.22, POX
0.38, 0.51, 0.75, 0.17, 0.5, 0.0, 0.55, 0.22, CYT
0.38, 0.51, 0.75, 0.17, 0.5, 0.0, 0.55, 0.22, CYT
0.44, 0.53, 0.52, 0.23, 0.5, 0.83, 0.51, 0.22, POX
0.55, 0.54, 0.56, 0.22, 0.5, 0.0, 0.5, 0.37, NUC
0.46, 0.35, 0.53, 0.16, 0.5, 0.0, 0.51, 0.29, CYT
0.61, 0.3, 0.59, 0.12, 0.5, 0.0, 0.49, 0.27, NUC
0.55, 0.46, 0.53, 0.11, 0.5, 0.0, 0.52, 0.48, CYT
0.55, 0.46, 0.46, 0.31, 0.5, 0.0, 0.58, 0.48, NUC
