@relation penbased-2
@attribute At1 integer [0, 100]
@attribute At2 integer [0, 100]
@attribute At3 integer [0, 100]
@attribute At4 integer [0, 100]
@attribute At5 integer [0, 100]
@attribute At6 integer [0, 100]
@attribute At7 integer [0, 100]
@attribute At8 integer [0, 100]
@attribute At9 integer [0, 100]
@attribute At10 integer [0, 100]
@attribute At11 integer [0, 100]
@attribute At12 integer [0, 100]
@attribute At13 integer [0, 100]
@attribute At14 integer [0, 100]
@attribute At15 integer [0, 100]
@attribute At16 integer [0, 100]
@attribute Class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@inputs At1, At2, At3, At4, At5, At6, At7, At8, At9, At10, At11, At12, At13, At14, At15, At16
@outputs Class
@data
0, 100, 7, 92, 5, 68, 19, 45, 86, 34, 100, 45, 74, 23, 67, 0, 4
50, 84, 66, 100, 75, 75, 51, 51, 100, 42, 97, 13, 49, 0, 0, 7, 3
0, 0, 31, 15, 63, 30, 88, 52, 100, 79, 82, 100, 56, 82, 79, 64, 9
37, 91, 84, 100, 100, 96, 52, 87, 32, 57, 74, 38, 41, 1, 0, 0, 5
16, 90, 9, 61, 50, 35, 23, 0, 5, 35, 0, 81, 48, 97, 100, 100, 5
47, 93, 1, 67, 0, 16, 53, 0, 100, 32, 95, 81, 42, 100, 7, 62, 0
43, 94, 15, 66, 52, 38, 20, 0, 5, 35, 0, 83, 42, 100, 100, 98, 5
73, 98, 35, 100, 0, 59, 0, 13, 71, 8, 100, 45, 29, 41, 9, 0, 6
42, 100, 9, 79, 0, 46, 48, 31, 100, 46, 89, 52, 46, 30, 19, 0, 4
7, 100, 0, 56, 51, 37, 39, 0, 9, 15, 5, 62, 42, 92, 100, 96, 5
96, 100, 52, 95, 48, 76, 96, 98, 100, 85, 71, 54, 39, 25, 0, 0, 9
14, 94, 4, 63, 43, 36, 36, 0, 10, 27, 0, 72, 47, 92, 100, 100, 5
30, 98, 16, 60, 53, 28, 46, 0, 13, 29, 0, 68, 27, 95, 100, 100, 5
0, 42, 34, 57, 64, 79, 95, 100, 100, 85, 81, 57, 62, 28, 45, 0, 1
0, 63, 41, 77, 79, 94, 100, 100, 85, 74, 75, 48, 71, 22, 82, 0, 1
24, 100, 100, 99, 93, 78, 64, 48, 39, 17, 19, 0, 0, 31, 72, 38, 7
79, 74, 21, 67, 15, 92, 71, 100, 100, 75, 73, 45, 36, 18, 0, 0, 9
0, 70, 63, 80, 90, 100, 100, 89, 100, 67, 92, 44, 84, 22, 71, 0, 1
69, 100, 31, 73, 39, 55, 89, 62, 100, 84, 63, 57, 31, 28, 0, 0, 4
47, 91, 37, 63, 65, 27, 21, 0, 9, 40, 0, 91, 49, 100, 100, 91, 5
