@relation penbased-2
@attribute At1 integer [0, 100]
@attribute At2 integer [0, 100]
@attribute At3 integer [0, 100]
@attribute At4 integer [0, 100]
@attribute At5 integer [0, 100]
@attribute At6 integer [0, 100]
@attribute At7 integer [0, 100]
@attribute At8 integer [0, 100]
@attribute At9 integer [0, 100]
@attribute At10 integer [0, 100]
@attribute At11 integer [0, 100]
@attribute At12 integer [0, 100]
@attribute At13 integer [0, 100]
@attribute At14 integer [0, 100]
@attribute At15 integer [0, 100]
@attribute At16 integer [0, 100]
@attribute Class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@inputs At1, At2, At3, At4, At5, At6, At7, At8, At9, At10, At11, At12, At13, At14, At15, At16
@outputs Class
@data
13, 89, 12, 50, 72, 38, 56, 0, 4, 17, 0, 61, 32, 94, 100, 100, 5
35, 76, 57, 100, 100, 92, 68, 66, 81, 38, 82, 9, 32, 0, 0, 17, 3
99, 80, 63, 100, 25, 76, 79, 68, 100, 62, 97, 23, 54, 0, 0, 16, 9
30, 87, 16, 55, 68, 41, 52, 0, 0, 16, 15, 63, 41, 100, 100, 98, 5
0, 75, 47, 87, 100, 100, 91, 80, 72, 60, 53, 40, 35, 20, 19, 0, 1
34, 100, 21, 76, 0, 35, 43, 30, 91, 29, 100, 41, 74, 46, 67, 0, 4
38, 51, 8, 66, 0, 19, 42, 0, 87, 26, 100, 71, 61, 100, 16, 84, 0
95, 92, 50, 100, 21, 77, 74, 87, 100, 86, 69, 56, 37, 26, 0, 0, 9
18, 88, 2, 54, 40, 25, 2, 0, 0, 30, 20, 70, 45, 100, 100, 93, 5
0, 65, 38, 79, 62, 100, 72, 86, 77, 65, 79, 43, 83, 21, 100, 0, 1
33, 58, 19, 90, 78, 100, 91, 62, 51, 28, 0, 2, 37, 1, 100, 0, 2
14, 91, 9, 52, 28, 10, 74, 0, 100, 38, 86, 81, 43, 100, 0, 80, 0
85, 100, 30, 84, 5, 54, 0, 22, 48, 0, 100, 21, 66, 47, 0, 37, 6
0, 42, 30, 56, 59, 72, 86, 94, 100, 100, 80, 68, 62, 35, 53, 0, 1
0, 52, 52, 83, 97, 100, 91, 55, 84, 10, 21, 0, 21, 7, 100, 7, 1
37, 84, 69, 100, 96, 87, 55, 61, 88, 38, 100, 9, 51, 0, 0, 3, 3
48, 100, 15, 83, 0, 39, 23, 1, 71, 0, 100, 34, 86, 77, 44, 98, 0
0, 65, 43, 76, 93, 96, 100, 100, 71, 75, 48, 50, 26, 25, 5, 0, 1
