@relation yeast-1
@attribute Mcg real [0.11, 1.0]
@attribute Gvh real [0.13, 1.0]
@attribute Alm real [0.21, 1.0]
@attribute Mit real [0.0, 1.0]
@attribute Erl real [0.5, 1.0]
@attribute Pox real [0.0, 0.83]
@attribute Vac real [0.0, 0.73]
@attribute Nuc real [0.0, 1.0]
@attribute Class {MIT, NUC, CYT, ME1, ME2, ME3, EXC, VAC, POX, ERL}
@inputs Mcg, Gvh, Alm, Mit, Erl, Pox, Vac, Nuc
@outputs Class
@data
0.58, 0.61, 0.47, 0.13, 0.5, 0.0, 0.48, 0.22, MIT
0.43, 0.53, 0.52, 0.13, 0.5, 0.0, 0.55, 0.22, CYT
0.63, 0.67, 0.57, 0.24, 0.5, 0.0, 0.49, 0.22, MIT
0.74, 0.67, 0.47, 0.34, 0.5, 0.0, 0.42, 0.22, EXC
0.57, 0.53, 0.53, 0.34, 0.5, 0.0, 0.53, 0.22, MIT
0.41, 0.54, 0.39, 0.2, 0.5, 0.0, 0.51, 0.22, ME3
0.53, 0.44, 0.51, 0.33, 0.5, 0.0, 0.55, 0.22, CYT
0.38, 0.49, 0.53, 0.19, 0.5, 0.0, 0.5, 0.22, CYT
0.5, 0.54, 0.53, 0.54, 0.5, 0.0, 0.51, 0.27, MIT
0.48, 0.45, 0.55, 0.5, 0.5, 0.0, 0.53, 0.22, MIT
0.5, 0.58, 0.46, 0.46, 0.5, 0.0, 0.46, 0.22, MIT
0.46, 0.38, 0.47, 0.22, 0.5, 0.0, 0.52, 0.27, MIT
0.36, 0.58, 0.35, 0.24, 0.5, 0.0, 0.44, 0.22, ME3
0.47, 0.39, 0.55, 0.24, 0.5, 0.0, 0.47, 0.22, CYT
0.44, 0.59, 0.36, 0.16, 0.5, 0.0, 0.52, 0.22, ME3
0.59, 0.67, 0.56, 0.41, 0.5, 0.0, 0.47, 0.22, MIT
0.47, 0.47, 0.57, 0.48, 0.5, 0.0, 0.48, 0.22, MIT
0.64, 0.62, 0.29, 0.28, 0.5, 0.0, 0.51, 0.22, MIT
0.62, 0.51, 0.52, 0.42, 0.5, 0.0, 0.54, 0.27, NUC
0.35, 0.58, 0.54, 0.16, 0.5, 0.0, 0.51, 0.22, NUC
0.48, 0.54, 0.5, 0.17, 0.5, 0.0, 0.53, 0.22, NUC
0.57, 0.51, 0.53, 0.18, 0.5, 0.0, 0.56, 0.25, NUC
0.24, 0.34, 0.69, 0.18, 0.5, 0.0, 0.52, 0.22, CYT
0.47, 0.46, 0.59, 0.49, 0.5, 0.0, 0.56, 0.22, MIT
0.7, 0.65, 0.54, 0.28, 0.5, 0.0, 0.6, 0.4, VAC
0.41, 0.45, 0.53, 0.17, 0.5, 0.0, 0.51, 0.25, NUC
0.46, 0.54, 0.71, 0.15, 0.5, 0.0, 0.59, 0.22, MIT
