@relation yeast-1
@attribute Mcg real [0.11, 1.0]
@attribute Gvh real [0.13, 1.0]
@attribute Alm real [0.21, 1.0]
@attribute Mit real [0.0, 1.0]
@attribute Erl real [0.5, 1.0]
@attribute Pox real [0.0, 0.83]
@attribute Vac real [0.0, 0.73]
@attribute Nuc real [0.0, 1.0]
@attribute Class {MIT, NUC, CYT, ME1, ME2, ME3, EXC, VAC, POX, ERL}
@inputs Mcg, Gvh, Alm, Mit, Erl, Pox, Vac, Nuc
@outputs Class
@data
0.4, 0.42, 0.57, 0.35, 0.5, 0.0, 0.53, 0.25, CYT
0.47, 0.39, 0.5, 0.11, 0.5, 0.0, 0.49, 0.4, CYT
0.46, 0.53, 0.52, 0.15, 0.5, 0.0, 0.58, 0.22, CYT
0.57, 0.47, 0.6, 0.18, 0.5, 0.0, 0.51, 0.22, CYT
0.78, 0.74, 0.42, 0.26, 0.5, 0.0, 0.43, 0.22, ME1
0.79, 0.57, 0.41, 0.28, 0.5, 0.0, 0.59, 0.22, ME2
0.45, 0.46, 0.55, 0.43, 0.5, 0.0, 0.55, 0.38, NUC
0.66, 0.62, 0.49, 0.1, 0.5, 0.0, 0.49, 0.22, CYT
0.46, 0.49, 0.58, 0.23, 0.5, 0.0, 0.44, 0.22, MIT
0.53, 0.51, 0.55, 0.05, 0.5, 0.0, 0.45, 0.25, NUC
0.6, 0.5, 0.57, 0.25, 0.5, 0.0, 0.41, 0.26, CYT
0.42, 0.43, 0.56, 0.1, 0.5, 0.0, 0.49, 0.22, CYT
0.32, 0.42, 0.52, 0.24, 0.5, 0.0, 0.6, 0.22, CYT
0.49, 0.46, 0.45, 0.45, 0.5, 0.0, 0.52, 0.22, MIT
0.35, 0.66, 0.49, 0.21, 0.5, 0.0, 0.54, 0.25, CYT
0.55, 0.42, 0.34, 0.3, 0.5, 0.0, 0.52, 0.22, ME3
0.42, 0.32, 0.5, 0.21, 0.5, 0.0, 0.51, 0.22, NUC
0.43, 0.39, 0.54, 0.14, 0.5, 0.0, 0.47, 0.22, NUC
0.46, 0.35, 0.53, 0.16, 0.5, 0.0, 0.51, 0.29, CYT
0.51, 0.55, 0.35, 0.16, 0.5, 0.0, 0.51, 0.47, ME3
0.77, 0.87, 0.47, 0.37, 0.5, 0.0, 0.48, 0.22, EXC
0.46, 0.48, 0.44, 0.21, 0.5, 0.0, 0.55, 0.22, POX
0.35, 0.56, 0.36, 0.3, 0.5, 0.0, 0.53, 0.25, ME3
0.51, 0.58, 0.54, 0.29, 0.5, 0.0, 0.53, 0.22, CYT
0.42, 0.39, 0.47, 0.13, 0.5, 0.0, 0.5, 0.27, CYT
0.31, 0.31, 0.54, 0.18, 0.5, 0.0, 0.52, 0.29, NUC
0.6, 0.4, 0.59, 0.18, 0.5, 0.0, 0.48, 0.22, CYT
0.59, 0.43, 0.52, 0.19, 0.5, 0.0, 0.55, 0.27, CYT
0.52, 0.51, 0.51, 0.12, 0.5, 0.0, 0.51, 0.4, CYT
0.49, 0.43, 0.48, 0.15, 0.5, 0.0, 0.55, 0.25, CYT
0.44, 0.51, 0.48, 0.38, 0.5, 0.0, 0.52, 0.22, CYT
0.58, 0.48, 0.56, 0.12, 0.5, 0.0, 0.46, 0.25, NUC
0.69, 0.5, 0.49, 0.42, 0.5, 0.0, 0.49, 0.22, MIT
0.56, 0.57, 0.63, 0.39, 1.0, 0.0, 0.59, 0.4, NUC
0.37, 0.34, 0.58, 0.24, 0.5, 0.0, 0.44, 0.18, NUC
0.48, 0.57, 0.5, 0.09, 0.5, 0.0, 0.52, 0.42, NUC
0.53, 0.53, 0.53, 0.17, 0.5, 0.0, 0.49, 0.37, NUC
