@relation magic-3
@attribute FLength real [4.2835, 334.177]
@attribute FWidth real [0.0, 256.382]
@attribute FSize real [1.9413, 5.3233]
@attribute FConc real [0.0131, 0.893]
@attribute FConc1 real [3.0E-4, 0.6752]
@attribute FAsym real [-457.9161, 575.2407]
@attribute FM3Long real [-331.78, 238.321]
@attribute FM3Trans real [-205.8947, 179.851]
@attribute FAlpha real [0.0, 90.0]
@attribute FDist real [1.2826, 495.561]
@attribute Class {g, h}
@inputs FLength, FWidth, FSize, FConc, FConc1, FAsym, FM3Long, FM3Trans, FAlpha, FDist
@outputs Class
@data
23.8172, 9.5728, 2.3385, 0.6147, 0.3922, 27.2107, -6.4633, -7.1513, 10.449, 116.737, g
26.7897, 13.7595, 2.5521, 0.4236, 0.2174, 29.6339, 20.456, -2.9292, 0.812, 237.134, g
36.1741, 17.6865, 2.946, 0.2865, 0.1591, -4.7746, -18.9697, 11.3256, 0.254, 191.455, g
20.3836, 9.0462, 2.3365, 0.6359, 0.3894, 22.27, 12.9487, -2.0403, 43.0032, 66.1667, g
27.2304, 19.2817, 2.6375, 0.371, 0.2039, 23.0406, 23.3428, 9.7216, 77.5379, 104.283, g
84.61, 36.4657, 3.6809, 0.1393, 0.0714, 54.4505, 86.0228, 16.1472, 17.575, 258.597, g
73.6263, 35.582, 3.4533, 0.2493, 0.1333, -48.0377, 42.6119, -26.2742, 4.471, 372.317, g
38.1627, 25.1091, 3.1041, 0.247, 0.1279, 37.2749, 22.8564, 16.227, 5.5119, 188.124, g
24.999, 14.6867, 2.5434, 0.432, 0.2332, 5.8044, 19.2386, -10.3623, 9.862, 174.003, g
33.4858, 15.0766, 2.7969, 0.3623, 0.1891, 33.3189, 19.1818, -6.8774, 12.9506, 169.066, g
23.6353, 11.4736, 2.4661, 0.6291, 0.4085, -15.6487, -18.8315, -9.9017, 43.565, 194.384, g
74.5714, 23.0735, 2.9914, 0.3182, 0.1627, -36.5281, 63.076, -12.2594, 4.029, 363.489, g
39.1755, 26.3821, 2.7966, 0.345, 0.2005, -38.1241, 25.4219, 17.0574, 6.4974, 299.173, g
41.4001, 25.658, 3.0414, 0.2036, 0.1023, 39.265, 30.5051, -23.3496, 0.6344, 91.228, g
28.0883, 6.8084, 2.2504, 0.5899, 0.3174, -7.7092, -17.4113, -2.8594, 27.549, 146.596, g
117.749, 33.2446, 3.1921, 0.1606, 0.0806, 98.9071, 129.932, -17.914, 2.582, 188.983, g
56.2418, 16.5703, 2.8943, 0.2092, 0.1103, 71.8585, 39.648, 10.7621, 1.574, 250.91, g
25.5688, 19.0735, 2.2911, 0.7161, 0.422, 16.7068, 25.194, -14.8757, 74.308, 316.47, g
19.7366, 7.3095, 2.1383, 0.7636, 0.4109, -3.5091, 10.3719, -4.8598, 24.7838, 173.073, g
97.794, 26.8347, 3.5327, 0.1516, 0.077, 29.7042, 95.3544, 12.0158, 3.2128, 256.435, g
65.6069, 33.6033, 3.8528, 0.1433, 0.073, -84.0021, 43.5019, -23.9483, 0.7567, 246.341, g
35.577, 15.0526, 2.9805, 0.3964, 0.2202, 15.679, 14.3568, 4.1406, 2.0711, 225.707, g
20.4525, 7.2419, 2.1775, 0.7243, 0.3754, 2.1721, -9.6562, -5.7228, 9.1256, 159.126, g
23.6179, 20.0571, 2.5224, 0.5495, 0.3739, -1.574, -15.0956, -11.354, 47.786, 86.2468, g
80.0169, 29.9756, 3.6714, 0.1577, 0.0898, 20.4369, 24.4273, -24.8336, 4.142, 228.254, g
60.7883, 27.5272, 2.8868, 0.2336, 0.1201, 88.6317, -19.3902, 13.1675, 5.097, 237.768, g
68.0121, 27.6698, 3.0824, 0.2738, 0.1576, -14.268, 44.4184, -26.1683, 3.9746, 313.967, g
45.8894, 15.7069, 2.4065, 0.4, 0.2059, -48.0214, 22.4139, -9.317, 1.7371, 227.008, g
86.5346, 40.6201, 4.1111, 0.0915, 0.0458, 35.8899, 74.5456, 25.1406, 4.8152, 219.069, g
20.683, 7.2158, 2.0233, 0.7014, 0.3649, -1.1217, 7.933, -5.933, 56.923, 137.98, g
31.5283, 21.6599, 2.8618, 0.3368, 0.1945, 7.1639, 22.6167, 13.2218, 50.0234, 38.7816, g
22.2442, 11.3451, 2.5735, 0.5581, 0.3298, -6.2041, -19.0011, -6.9374, 6.6462, 147.737, g
32.2468, 13.0261, 2.6532, 0.3867, 0.21, -14.0759, -25.0816, 7.2235, 16.2095, 168.025, g
68.9648, 25.5221, 3.1307, 0.2102, 0.1121, -76.6982, 52.6603, 21.812, 0.402, 253.006, g
37.6518, 15.2293, 2.8561, 0.4805, 0.3015, 24.9532, 37.9769, 6.2648, 7.803, 184.216, g
12.871, 9.8459, 2.2516, 0.7899, 0.5686, 11.2062, 8.4149, -5.4993, 40.035, 146.03, g
29.1123, 18.0166, 2.635, 0.3175, 0.1657, 11.2887, 26.7753, -10.7571, 36.953, 190.445, g
31.3143, 18.0536, 2.873, 0.284, 0.1721, 1.2051, 14.7875, 12.6812, 1.6985, 183.056, g
34.3373, 16.4943, 2.8109, 0.3246, 0.1862, -2.201, -29.0313, -12.3771, 48.259, 30.8191, g
24.598, 12.202, 2.5955, 0.4492, 0.2297, -16.8541, -16.6278, 5.8666, 8.0075, 190.772, g
