@relation magic-1
@attribute FLength real [4.2835, 334.177]
@attribute FWidth real [0.0, 256.382]
@attribute FSize real [1.9413, 5.3233]
@attribute FConc real [0.0131, 0.893]
@attribute FConc1 real [3.0E-4, 0.6752]
@attribute FAsym real [-457.9161, 575.2407]
@attribute FM3Long real [-331.78, 238.321]
@attribute FM3Trans real [-205.8947, 179.851]
@attribute FAlpha real [0.0, 90.0]
@attribute FDist real [1.2826, 495.561]
@attribute Class {g, h}
@inputs FLength, FWidth, FSize, FConc, FConc1, FAsym, FM3Long, FM3Trans, FAlpha, FDist
@outputs Class
@data
28.7967, 16.0021, 2.6449, 0.3918, 0.1982, 27.7004, 22.011, -8.2027, 40.092, 81.8828, g
26.7897, 13.7595, 2.5521, 0.4236, 0.2174, 29.6339, 20.456, -2.9292, 0.812, 237.134, g
36.1741, 17.6865, 2.946, 0.2865, 0.1591, -4.7746, -18.9697, 11.3256, 0.254, 191.455, g
20.3836, 9.0462, 2.3365, 0.6359, 0.3894, 22.27, 12.9487, -2.0403, 43.0032, 66.1667, g
27.2304, 19.2817, 2.6375, 0.371, 0.2039, 23.0406, 23.3428, 9.7216, 77.5379, 104.283, g
26.7065, 18.907, 2.6781, 0.4281, 0.2214, 9.1616, 18.6858, -11.6888, 26.881, 63.7637, g
30.3331, 14.9817, 2.4526, 0.4762, 0.2416, -32.2094, -20.1641, -5.1006, 0.9075, 74.5242, g
59.7337, 17.0227, 2.7997, 0.2966, 0.1895, 51.0255, 54.5868, -14.0979, 5.094, 217.856, g
89.8648, 33.6384, 3.8899, 0.1487, 0.0805, 22.0971, 98.5182, 14.069, 3.689, 158.618, g
25.4762, 12.0898, 2.4048, 0.4134, 0.2303, 7.0323, 15.7982, 6.2085, 24.847, 193.349, g
26.0862, 12.5473, 2.4099, 0.4397, 0.2354, 16.3451, 14.9018, 5.6343, 4.1527, 183.852, g
18.2028, 15.8708, 2.4526, 0.5115, 0.2945, 18.9639, 18.329, 5.3072, 2.5957, 48.9988, g
70.2768, 24.5132, 3.3917, 0.1294, 0.0651, 83.3498, 48.9676, -12.3834, 2.9261, 233.617, g
25.2091, 10.6551, 2.3701, 0.4989, 0.3006, 10.6071, 21.1038, 3.9151, 41.563, 147.489, g
19.7366, 7.3095, 2.1383, 0.7636, 0.4109, -3.5091, 10.3719, -4.8598, 24.7838, 173.073, g
48.4695, 18.1279, 2.9917, 0.2345, 0.1177, 19.6222, 46.8981, -10.5913, 6.955, 203.072, g
60.8598, 18.7033, 2.6128, 0.2561, 0.1378, 42.4917, 33.7518, 12.0692, 4.182, 146.803, g
20.4525, 7.2419, 2.1775, 0.7243, 0.3754, 2.1721, -9.6562, -5.7228, 9.1256, 159.126, g
84.2741, 33.3225, 3.8949, 0.1233, 0.0635, 43.638, 73.8035, 16.3734, 3.7714, 260.378, g
33.7616, 14.4511, 2.7941, 0.3759, 0.2096, 39.2425, 30.9736, -6.915, 32.377, 140.921, g
101.424, 41.0631, 4.1837, 0.0793, 0.0421, 78.3723, 90.4413, -27.5737, 6.1992, 265.012, g
43.1994, 17.501, 2.8011, 0.2735, 0.1431, 44.9467, 40.3342, -4.6509, 7.6914, 154.427, g
52.221, 12.2973, 2.6435, 0.4523, 0.3125, -25.0167, -41.2341, 6.56, 5.096, 185.44, g
29.1556, 12.5696, 2.5441, 0.5257, 0.27, -9.3565, 21.4041, 10.0929, 1.925, 216.048, g
100.747, 16.6321, 2.944, 0.3322, 0.211, -110.411, 74.4191, -14.7132, 0.305, 230.713, g
70.4799, 18.7963, 2.7906, 0.3142, 0.2016, -88.956, 43.637, -17.9763, 4.5199, 251.386, g
29.4259, 17.0431, 2.4526, 0.3633, 0.2028, -14.6546, -15.5914, 8.1478, 45.059, 142.487, g
91.9495, 29.2949, 3.3654, 0.2233, 0.1416, -48.1293, 43.1926, 22.0904, 4.1635, 291.833, g
50.1872, 27.6518, 3.4718, 0.1859, 0.096, 14.543, 53.802, -10.5164, 17.073, 93.8376, g
24.598, 12.202, 2.5955, 0.4492, 0.2297, -16.8541, -16.6278, 5.8666, 8.0075, 190.772, g
31.0208, 10.3206, 2.5218, 0.5444, 0.2992, -37.1024, -15.7849, -7.8747, 8.2969, 189.763, g
54.2845, 17.4844, 2.6217, 0.4683, 0.2927, -14.1093, -62.4836, -16.2378, 1.7076, 211.699, g
27.1848, 14.0718, 2.4893, 0.4052, 0.2188, -17.8425, 14.9077, 7.5929, 47.377, 183.708, g
43.0546, 19.9313, 2.5676, 0.2625, 0.1475, -9.9563, 30.6469, 10.863, 12.089, 149.596, g
35.086, 19.428, 3.1159, 0.2688, 0.1673, -10.5013, 20.5008, -5.0981, 11.3154, 177.42, g
