@relation magic-1
@attribute FLength real [4.2835, 334.177]
@attribute FWidth real [0.0, 256.382]
@attribute FSize real [1.9413, 5.3233]
@attribute FConc real [0.0131, 0.893]
@attribute FConc1 real [3.0E-4, 0.6752]
@attribute FAsym real [-457.9161, 575.2407]
@attribute FM3Long real [-331.78, 238.321]
@attribute FM3Trans real [-205.8947, 179.851]
@attribute FAlpha real [0.0, 90.0]
@attribute FDist real [1.2826, 495.561]
@attribute Class {g, h}
@inputs FLength, FWidth, FSize, FConc, FConc1, FAsym, FM3Long, FM3Trans, FAlpha, FDist
@outputs Class
@data
51.624, 21.1502, 2.9085, 0.242, 0.134, 50.8761, 43.1887, 9.8145, 3.613, 238.098, g
107.338, 29.1356, 3.5265, 0.1315, 0.0683, -47.1175, 89.5136, -20.0479, 3.312, 293.781, g
92.937, 22.1354, 3.0885, 0.3108, 0.1937, 18.6509, 48.5227, 14.2821, 3.497, 358.99, g
19.5793, 14.6976, 2.2934, 0.514, 0.2824, -6.8054, 17.3916, -4.9889, 13.17, 130.918, g
41.0677, 16.2578, 2.7308, 0.3532, 0.1812, 47.4405, 37.9125, 16.1237, 17.671, 213.317, g
74.5714, 23.0735, 2.9914, 0.3182, 0.1627, -36.5281, 63.076, -12.2594, 4.029, 363.489, g
39.1755, 26.3821, 2.7966, 0.345, 0.2005, -38.1241, 25.4219, 17.0574, 6.4974, 299.173, g
32.0586, 15.6976, 2.5072, 0.3826, 0.2037, -2.3114, -17.7455, -11.3244, 12.1807, 193.794, g
47.8275, 18.509, 2.747, 0.2775, 0.1603, 28.7838, -29.0817, -7.859, 4.798, 159.704, g
26.8928, 17.7678, 2.8439, 0.3782, 0.2357, -1.6706, -8.159, -15.8111, 23.821, 109.02, g
28.0883, 6.8084, 2.2504, 0.5899, 0.3174, -7.7092, -17.4113, -2.8594, 27.549, 146.596, g
70.6584, 19.8319, 3.1041, 0.2541, 0.1334, -96.9809, 52.5046, -12.6086, 0.45, 288.263, g
30.0005, 21.6966, 2.934, 0.3062, 0.1857, 23.3297, 17.6318, -18.5123, 27.943, 151.522, g
97.794, 26.8347, 3.5327, 0.1516, 0.077, 29.7042, 95.3544, 12.0158, 3.2128, 256.435, g
13.1155, 10.1083, 2.1973, 0.8, 0.5238, 12.3051, 7.4928, 10.0776, 58.845, 166.287, g
59.817, 14.838, 2.8808, 0.3132, 0.1678, -110.45, 53.9825, 12.1712, 5.235, 289.536, g
31.6173, 24.2115, 2.7197, 0.2402, 0.1268, -23.7309, 2.8864, -11.5139, 22.951, 157.613, g
