@relation penbased-3
@attribute At1 integer [0, 100]
@attribute At2 integer [0, 100]
@attribute At3 integer [0, 100]
@attribute At4 integer [0, 100]
@attribute At5 integer [0, 100]
@attribute At6 integer [0, 100]
@attribute At7 integer [0, 100]
@attribute At8 integer [0, 100]
@attribute At9 integer [0, 100]
@attribute At10 integer [0, 100]
@attribute At11 integer [0, 100]
@attribute At12 integer [0, 100]
@attribute At13 integer [0, 100]
@attribute At14 integer [0, 100]
@attribute At15 integer [0, 100]
@attribute At16 integer [0, 100]
@attribute Class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@inputs At1, At2, At3, At4, At5, At6, At7, At8, At9, At10, At11, At12, At13, At14, At15, At16
@outputs Class
@data
24, 66, 43, 100, 59, 65, 34, 28, 0, 1, 16, 11, 58, 0, 100, 1, 2
36, 92, 7, 83, 0, 37, 26, 0, 77, 6, 100, 46, 84, 89, 36, 100, 0
5, 90, 46, 98, 89, 100, 100, 81, 77, 59, 62, 34, 37, 14, 0, 0, 3
0, 75, 31, 72, 67, 84, 100, 100, 94, 82, 80, 54, 68, 27, 56, 0, 1
0, 97, 42, 100, 67, 71, 53, 35, 34, 0, 16, 23, 40, 42, 100, 42, 7
26, 79, 69, 100, 92, 85, 56, 56, 90, 42, 100, 15, 51, 0, 0, 2, 3
46, 100, 21, 85, 0, 60, 24, 42, 68, 44, 100, 49, 76, 25, 58, 0, 4
0, 65, 38, 79, 62, 100, 72, 86, 77, 65, 79, 43, 83, 21, 100, 0, 1
22, 55, 10, 60, 0, 18, 46, 0, 89, 28, 100, 70, 68, 100, 29, 69, 0
49, 83, 8, 57, 0, 17, 51, 0, 93, 28, 100, 70, 61, 100, 8, 86, 0
2, 85, 31, 100, 76, 74, 62, 37, 47, 0, 100, 8, 68, 30, 0, 41, 7
48, 100, 15, 83, 0, 39, 23, 1, 71, 0, 100, 34, 86, 77, 44, 98, 0
45, 85, 93, 100, 100, 98, 48, 88, 7, 62, 48, 48, 48, 18, 0, 0, 5
46, 83, 87, 100, 100, 79, 75, 54, 90, 36, 100, 13, 49, 0, 0, 12, 3
14, 100, 1, 54, 51, 47, 36, 0, 0, 14, 6, 71, 42, 93, 100, 97, 5
16, 59, 0, 31, 31, 0, 78, 15, 100, 55, 87, 98, 40, 100, 6, 67, 0
0, 70, 63, 80, 90, 100, 100, 89, 100, 67, 92, 44, 84, 22, 71, 0, 1
80, 100, 60, 76, 26, 52, 0, 28, 46, 11, 97, 29, 100, 24, 100, 0, 4
0, 96, 40, 100, 60, 66, 58, 27, 41, 0, 20, 35, 54, 42, 100, 46, 7
33, 93, 8, 58, 0, 20, 35, 0, 78, 21, 100, 55, 94, 93, 48, 100, 0
77, 100, 53, 90, 0, 43, 13, 0, 86, 34, 100, 84, 73, 51, 10, 9, 0
100, 100, 71, 95, 30, 64, 1, 27, 32, 0, 82, 19, 54, 51, 0, 48, 6
100, 100, 14, 90, 74, 55, 79, 97, 37, 62, 0, 39, 36, 0, 39, 44, 8
85, 100, 56, 72, 42, 39, 55, 7, 100, 0, 95, 30, 46, 37, 0, 23, 6
100, 96, 66, 100, 63, 85, 85, 88, 78, 53, 66, 20, 35, 0, 0, 12, 9
0, 84, 34, 100, 67, 85, 60, 44, 31, 19, 26, 20, 64, 13, 100, 0, 2
0, 95, 35, 100, 59, 78, 61, 52, 46, 27, 22, 5, 56, 0, 100, 1, 2
0, 69, 10, 54, 67, 37, 47, 0, 14, 13, 17, 54, 34, 92, 100, 100, 5
0, 100, 67, 94, 83, 65, 57, 33, 41, 0, 0, 20, 29, 31, 100, 32, 7
10, 78, 40, 100, 100, 99, 70, 53, 29, 12, 0, 0, 7, 45, 70, 55, 7
12, 86, 62, 100, 92, 86, 54, 64, 81, 46, 100, 22, 62, 0, 0, 5, 3
79, 97, 0, 100, 9, 73, 89, 87, 100, 95, 79, 63, 60, 30, 57, 0, 9
0, 71, 39, 81, 74, 99, 100, 100, 78, 75, 53, 50, 28, 26, 11, 0, 1
0, 99, 48, 100, 100, 96, 90, 55, 58, 15, 33, 0, 40, 40, 92, 37, 7
7, 89, 0, 45, 16, 5, 51, 0, 84, 20, 100, 61, 84, 100, 50, 98, 0
38, 100, 18, 81, 0, 52, 36, 38, 95, 42, 100, 60, 83, 31, 85, 0, 4
48, 100, 39, 64, 0, 31, 89, 31, 100, 59, 77, 85, 71, 42, 63, 0, 4
84, 81, 39, 100, 0, 66, 9, 18, 60, 0, 100, 33, 89, 80, 36, 92, 0
66, 94, 100, 100, 81, 96, 50, 81, 47, 50, 54, 19, 26, 0, 0, 12, 5
35, 96, 100, 100, 44, 93, 0, 73, 27, 60, 85, 46, 76, 17, 21, 0, 5
100, 95, 87, 100, 49, 74, 16, 43, 6, 6, 52, 0, 48, 29, 0, 39, 6
29, 97, 31, 70, 61, 42, 50, 0, 0, 20, 17, 60, 41, 98, 100, 100, 5
100, 100, 50, 76, 0, 36, 76, 35, 99, 62, 89, 96, 80, 45, 72, 0, 4
0, 90, 46, 100, 100, 98, 87, 76, 56, 56, 74, 34, 56, 12, 8, 0, 3
53, 79, 44, 55, 22, 10, 0, 0, 32, 36, 66, 69, 100, 100, 61, 83, 8
0, 12, 50, 48, 84, 87, 24, 100, 29, 65, 100, 35, 84, 0, 9, 11, 8
45, 100, 12, 82, 0, 41, 17, 4, 62, 0, 100, 21, 96, 60, 54, 66, 0
52, 96, 84, 100, 100, 79, 73, 58, 84, 35, 90, 11, 47, 0, 0, 5, 3
17, 89, 0, 55, 65, 58, 69, 11, 11, 0, 10, 60, 31, 100, 100, 96, 5
33, 95, 4, 69, 0, 27, 39, 0, 88, 16, 100, 56, 69, 89, 17, 100, 0
45, 79, 57, 100, 100, 93, 86, 66, 70, 44, 87, 20, 46, 6, 0, 0, 3
0, 82, 37, 62, 83, 30, 65, 0, 46, 32, 81, 66, 100, 100, 23, 90, 8
29, 89, 84, 100, 80, 73, 36, 50, 94, 38, 100, 9, 41, 0, 0, 17, 3
86, 90, 28, 100, 0, 52, 46, 4, 26, 0, 25, 51, 100, 83, 73, 99, 8
34, 89, 14, 84, 0, 38, 24, 0, 75, 3, 100, 42, 82, 86, 34, 100, 0
13, 87, 0, 57, 60, 37, 42, 0, 12, 16, 14, 59, 30, 98, 100, 100, 5
14, 70, 46, 100, 48, 78, 41, 36, 21, 0, 0, 3, 50, 1, 100, 1, 1
