@relation yeast-2
@attribute Mcg real [0.11, 1.0]
@attribute Gvh real [0.13, 1.0]
@attribute Alm real [0.21, 1.0]
@attribute Mit real [0.0, 1.0]
@attribute Erl real [0.5, 1.0]
@attribute Pox real [0.0, 0.83]
@attribute Vac real [0.0, 0.73]
@attribute Nuc real [0.0, 1.0]
@attribute Class {MIT, NUC, CYT, ME1, ME2, ME3, EXC, VAC, POX, ERL}
@inputs Mcg, Gvh, Alm, Mit, Erl, Pox, Vac, Nuc
@outputs Class
@data
0.61, 0.6, 0.55, 0.21, 0.5, 0.0, 0.5, 0.25, NUC
0.45, 0.4, 0.5, 0.16, 0.5, 0.0, 0.5, 0.22, CYT
0.46, 0.53, 0.52, 0.15, 0.5, 0.0, 0.58, 0.22, CYT
0.86, 0.68, 0.39, 0.24, 0.5, 0.0, 0.54, 0.22, ME2
0.41, 0.53, 0.45, 0.14, 0.5, 0.0, 0.52, 0.66, ME3
0.45, 0.58, 0.48, 0.67, 0.5, 0.0, 0.52, 0.22, MIT
0.47, 0.52, 0.5, 0.4, 0.5, 0.0, 0.41, 0.22, CYT
0.44, 0.52, 0.41, 0.23, 0.5, 0.0, 0.51, 0.22, NUC
0.45, 0.51, 0.5, 0.16, 0.5, 0.0, 0.52, 1.0, NUC
0.4, 0.62, 0.52, 0.31, 0.5, 0.0, 0.49, 0.31, CYT
0.29, 0.32, 0.58, 0.15, 0.5, 0.0, 0.5, 0.3, CYT
0.42, 0.31, 0.5, 0.15, 0.5, 0.0, 0.53, 0.22, NUC
0.26, 0.5, 0.33, 0.28, 0.5, 0.0, 0.51, 0.22, ME3
0.39, 0.42, 0.38, 0.4, 0.5, 0.0, 0.49, 0.47, ME3
0.32, 0.57, 0.5, 0.15, 0.5, 0.0, 0.53, 0.22, CYT
0.37, 0.42, 0.51, 0.11, 0.5, 0.0, 0.57, 0.22, CYT
0.75, 0.7, 0.38, 0.27, 0.5, 0.0, 0.49, 0.22, ME1
0.63, 0.56, 0.45, 0.58, 0.5, 0.0, 0.51, 0.22, MIT
