@relation glass-1
@attribute RI real [1.51115, 1.53393]
@attribute Na real [10.73, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.81, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.43, 16.19]
@attribute Ba real [0.0, 3.15]
@attribute Fe real [0.0, 0.51]
@attribute typeGlass {1, 2, 3, 4, 5, 6, 7}
@inputs RI, Na, Mg, Al, Si, K, Ca, Ba, Fe
@outputs typeGlass
@data
1.52222108, 13.21045, 3.7716, 0.79076, 71.9884, 0.13041, 10.2452, 0.0, 0.0, 1
1.51750562, 12.81145, 3.56955, 1.3493, 73.0188, 0.621, 8.59344, 0.0, 0.0, 1
1.51784732, 13.7745, 3.48873, 1.27868, 72.862, 0.60237, 8.48584, 0.0, 0.0, 1
1.51618438, 13.52965, 3.55159, 1.53869, 72.9908, 0.39123, 7.77568, 0.0, 0.0, 1
1.5215149, 13.11735, 3.57853, 0.8999, 72.2012, 0.22977, 9.82008, 0.0, 0.0816, 1
1.5159338, 13.25035, 3.44832, 1.42955, 73.17, 0.60858, 7.86176, 0.0, 0.0, 2
1.5159338, 13.09075, 3.52016, 1.55153, 72.8676, 0.6831, 8.04468, 0.0, 0.459, 2
1.52739214, 11.0226, 0.0, 0.74903, 73.0804, 0.0, 14.96336, 0.0, 0.0, 2
1.5173006, 12.3526, 2.72094, 1.62857, 72.8676, 0.70173, 9.22828, 0.0, 0.0, 2
1.51568322, 13.23705, 3.48873, 1.47128, 73.2484, 0.37881, 8.03392, 0.0, 0.0, 2
1.5163894, 12.5521, 3.47975, 1.86932, 73.2316, 0.62721, 8.07696, 0.0, 0.459, 2
1.51408862, 14.24785, 3.08912, 2.08118, 72.2796, 1.09917, 7.07628, 0.0, 0.0, 2
1.51609326, 13.42325, 3.39893, 1.2209, 72.6884, 0.58995, 8.32444, 0.0, 0.0, 3
1.5183257, 13.33015, 3.34056, 1.53869, 72.1396, 0.5589, 8.99156, 0.0, 0.0, 3
1.52171992, 11.56125, 1.88131, 1.56116, 72.862, 0.47196, 11.41256, 0.0, 0.0, 5
1.51905466, 14.0018, 2.38868, 1.56116, 72.3692, 0.0, 9.5726, 0.0, 0.0, 6
1.52064926, 14.3609, 0.0, 2.02019, 73.422, 0.0, 8.4428, 1.64115, 0.0, 7
1.5161616, 14.95275, 0.0, 2.27057, 73.2988, 0.0, 8.7118, 0.67095, 0.0, 7
1.51609326, 15.126, 0.0, 2.51132, 73.0524, 0.04968, 8.83016, 0.5292, 0.0, 7
1.51566044, 13.29025, 3.44832, 1.21127, 72.7388, 0.5589, 8.57192, 0.0, 0.0, 1
1.51777898, 13.21045, 2.81074, 1.29152, 72.9796, 0.50922, 9.02384, 0.0, 0.459, 1
1.51818902, 13.7225, 0.0, 0.55964, 74.4524, 0.0, 10.99292, 0.0, 0.0, 2
