@relation ring-4
@attribute A1 real [-6879.0, 6285.0]
@attribute A2 real [-7141.0, 6921.0]
@attribute A3 real [-7734.0, 7611.0]
@attribute A4 real [-6627.0, 7149.0]
@attribute A5 real [-7184.0, 6383.0]
@attribute A6 real [-6946.0, 6743.0]
@attribute A7 real [-7781.0, 6285.0]
@attribute A8 real [-6882.0, 6357.0]
@attribute A9 real [-7184.0, 7487.0]
@attribute A10 real [-7232.0, 6757.0]
@attribute A11 real [-7803.0, 7208.0]
@attribute A12 real [-7395.0, 6791.0]
@attribute A13 real [-7096.0, 6403.0]
@attribute A14 real [-7472.0, 7261.0]
@attribute A15 real [-7342.0, 7372.0]
@attribute A16 real [-7121.0, 6905.0]
@attribute A17 real [-7163.0, 7175.0]
@attribute A18 real [-8778.0, 6896.0]
@attribute A19 real [-7554.0, 5726.0]
@attribute A20 real [-6722.0, 7627.0]
@attribute Class {0, 1}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14, A15, A16, A17, A18, A19, A20
@outputs Class
@data
849.0, 2177.0, 598.0, 1689.0, 3114.0, -3406.0, 3799.0, -2642.0, 1578.0, -181.0, -212.0, 1633.0, 4664.0, 1081.0, -1172.0, -166.0, 578.0, 1664.0, 309.0, -3028.0, 0
-656.0, -1706.0, 4477.0, -293.0, -432.0, 1934.0, 2013.0, 672.0, 1193.0, -277.0, 2025.0, 1305.0, -2008.0, 179.0, -1327.0, 1452.0, -1402.0, -2894.0, -151.0, 126.0, 0
1305.0, 204.0, -394.0, 953.0, 222.0, -1443.0, 5.0, 1049.0, 1833.0, -1816.0, 2768.0, -928.0, -195.0, 1521.0, 3833.0, -193.0, 1984.0, 33.0, -2919.0, -553.0, 0
4938.0, -719.0, -114.0, -392.0, -128.0, -1174.0, -33.0, -61.0, -125.0, 3066.0, -2004.0, -981.0, 1414.0, -2735.0, 199.0, 1467.0, 178.0, -3348.0, -423.0, 3378.0, 0
74.0, 1193.0, 341.0, 62.0, -2109.0, 333.0, -21.0, 2762.0, 356.0, -3916.0, 2528.0, 2466.0, 3257.0, 994.0, -3216.0, 243.0, -1288.0, 53.0, 1199.0, 2526.0, 0
127.0, -1396.0, -14.0, -343.0, -1101.0, 958.0, 2484.0, -52.0, -1466.0, 1426.0, -1647.0, 1228.0, 3364.0, -882.0, 2381.0, 1419.0, 848.0, 263.0, -2306.0, -1299.0, 0
698.0, 2911.0, -318.0, -1031.0, 332.0, -1298.0, 1043.0, 2232.0, 1685.0, 1355.0, 623.0, -127.0, 392.0, 749.0, -322.0, -657.0, -879.0, 127.0, -666.0, 19.0, 1
87.0, 3034.0, 1932.0, 5094.0, -4293.0, -2943.0, -241.0, -3455.0, 5762.0, -12.0, 1284.0, 5028.0, 186.0, -3381.0, -195.0, -1562.0, -2779.0, 2788.0, -131.0, 1588.0, 0
146.0, 289.0, 1366.0, -877.0, 146.0, 8.0, 624.0, 149.0, 567.0, 11.0, 96.0, 2627.0, -442.0, -988.0, 1791.0, 876.0, -249.0, 2676.0, 484.0, 866.0, 1
2891.0, -608.0, -633.0, 2319.0, 3843.0, -335.0, 2522.0, 2787.0, -2532.0, 1289.0, 1971.0, 5856.0, -486.0, -3639.0, -1547.0, 105.0, -1834.0, -325.0, 988.0, -2407.0, 0
