@relation ring-4
@attribute A1 real [-6879.0, 6285.0]
@attribute A2 real [-7141.0, 6921.0]
@attribute A3 real [-7734.0, 7611.0]
@attribute A4 real [-6627.0, 7149.0]
@attribute A5 real [-7184.0, 6383.0]
@attribute A6 real [-6946.0, 6743.0]
@attribute A7 real [-7781.0, 6285.0]
@attribute A8 real [-6882.0, 6357.0]
@attribute A9 real [-7184.0, 7487.0]
@attribute A10 real [-7232.0, 6757.0]
@attribute A11 real [-7803.0, 7208.0]
@attribute A12 real [-7395.0, 6791.0]
@attribute A13 real [-7096.0, 6403.0]
@attribute A14 real [-7472.0, 7261.0]
@attribute A15 real [-7342.0, 7372.0]
@attribute A16 real [-7121.0, 6905.0]
@attribute A17 real [-7163.0, 7175.0]
@attribute A18 real [-8778.0, 6896.0]
@attribute A19 real [-7554.0, 5726.0]
@attribute A20 real [-6722.0, 7627.0]
@attribute Class {0, 1}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14, A15, A16, A17, A18, A19, A20
@outputs Class
@data
947.0, 543.0, 782.0, -449.0, -8.0, 1316.0, 756.0, -61.0, 1604.0, 1686.0, 264.0, -382.0, 1259.0, 608.0, -2292.0, 1008.0, 2687.0, -1422.0, -606.0, 2374.0, 1
759.0, -314.0, 898.0, -1743.0, 2003.0, 1117.0, 911.0, 136.0, -489.0, -144.0, 982.0, 112.0, 598.0, 474.0, 2026.0, 1431.0, -336.0, 79.0, 1123.0, 302.0, 1
1839.0, 3036.0, -11.0, 394.0, 188.0, -503.0, 762.0, -682.0, 2188.0, 693.0, 1115.0, 1662.0, 619.0, 951.0, 1568.0, 76.0, 638.0, 51.0, 41.0, 837.0, 1
1225.0, 2547.0, -1182.0, 4016.0, -521.0, -2396.0, -498.0, -2936.0, -1105.0, 6.0, -1953.0, -3867.0, 1372.0, -1267.0, 403.0, -296.0, -972.0, 114.0, 2326.0, 1723.0, 0
697.0, 1029.0, -459.0, -3736.0, -2565.0, 3389.0, -892.0, -1674.0, -1966.0, -482.0, -727.0, -512.0, -331.0, 717.0, 1628.0, 155.0, -531.0, -1083.0, 124.0, -1507.0, 0
-945.0, 195.0, 1867.0, -654.0, -795.0, 489.0, -1381.0, -1931.0, -439.0, -1563.0, -744.0, 217.0, -2765.0, 1443.0, -698.0, 98.0, 2279.0, -1372.0, -3388.0, 191.0, 0
1354.0, 344.0, 11.0, -2036.0, 1583.0, -2839.0, 1081.0, 506.0, 4428.0, -2267.0, 3829.0, 2246.0, 671.0, 275.0, -287.0, -1255.0, 3584.0, 361.0, 2297.0, 2462.0, 0
89.0, -74.0, -526.0, 1415.0, -154.0, 489.0, -249.0, 1257.0, 84.0, 655.0, 239.0, 667.0, 836.0, 213.0, -83.0, 1152.0, 1144.0, 2801.0, 2162.0, 1371.0, 1
-2907.0, -639.0, 1224.0, -2121.0, 3932.0, -2147.0, -1.0, 3571.0, -1833.0, 244.0, -74.0, -3299.0, -521.0, -183.0, 281.0, 1501.0, -447.0, 1403.0, 86.0, 1095.0, 0
-434.0, 239.0, -887.0, 808.0, -278.0, -776.0, 826.0, -193.0, 2143.0, -1727.0, 947.0, 1451.0, 29.0, 377.0, 1774.0, 612.0, 304.0, -979.0, 578.0, 842.0, 1
