@relation ring-4
@attribute A1 real [-6879.0, 6285.0]
@attribute A2 real [-7141.0, 6921.0]
@attribute A3 real [-7734.0, 7611.0]
@attribute A4 real [-6627.0, 7149.0]
@attribute A5 real [-7184.0, 6383.0]
@attribute A6 real [-6946.0, 6743.0]
@attribute A7 real [-7781.0, 6285.0]
@attribute A8 real [-6882.0, 6357.0]
@attribute A9 real [-7184.0, 7487.0]
@attribute A10 real [-7232.0, 6757.0]
@attribute A11 real [-7803.0, 7208.0]
@attribute A12 real [-7395.0, 6791.0]
@attribute A13 real [-7096.0, 6403.0]
@attribute A14 real [-7472.0, 7261.0]
@attribute A15 real [-7342.0, 7372.0]
@attribute A16 real [-7121.0, 6905.0]
@attribute A17 real [-7163.0, 7175.0]
@attribute A18 real [-8778.0, 6896.0]
@attribute A19 real [-7554.0, 5726.0]
@attribute A20 real [-6722.0, 7627.0]
@attribute Class {0, 1}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14, A15, A16, A17, A18, A19, A20
@outputs Class
@data
-942.0, 259.0, -182.0, 5.0, 158.0, -84.0, 1068.0, 1139.0, 474.0, 57.0, 414.0, 175.0, 1896.0, 2669.0, 1139.0, 5.0, 252.0, 1222.0, 1036.0, -946.0, 1
903.0, -158.0, -151.0, 857.0, 1722.0, -1657.0, 4326.0, 817.0, 878.0, -1484.0, 2662.0, 1.0, -289.0, -937.0, 1265.0, 591.0, -442.0, -1687.0, -1546.0, 2924.0, 0
449.0, 985.0, 837.0, -312.0, 4343.0, 94.0, -517.0, -2368.0, -959.0, 896.0, -1683.0, -1285.0, -114.0, -26.0, 1408.0, -1306.0, -1231.0, 1928.0, -2833.0, -1164.0, 0
1143.0, 618.0, 1154.0, 2162.0, 868.0, -76.0, 205.0, -64.0, 639.0, -33.0, 261.0, 604.0, -707.0, 39.0, 124.0, 551.0, 73.0, 701.0, 184.0, 803.0, 1
-831.0, 127.0, -764.0, -1826.0, 264.0, -2861.0, -3332.0, 1673.0, -843.0, -793.0, -3285.0, -805.0, 1342.0, 581.0, -1053.0, -5426.0, -1076.0, 1226.0, -412.0, 66.0, 0
516.0, 175.0, -335.0, -2057.0, -1229.0, 974.0, 135.0, 1486.0, -2736.0, -999.0, 2214.0, -1686.0, -2912.0, 1505.0, 1452.0, 233.0, 1733.0, 2089.0, 1258.0, -3647.0, 0
-298.0, 791.0, 1994.0, -479.0, -927.0, 2394.0, 38.0, 1283.0, -2815.0, 3649.0, -2436.0, -1654.0, 2224.0, -3142.0, 5817.0, 3381.0, 4779.0, -3182.0, -1604.0, 907.0, 0
747.0, 59.0, -2682.0, 2448.0, -1195.0, 888.0, -383.0, -1535.0, -639.0, -3293.0, 1247.0, -3302.0, -281.0, 1689.0, 414.0, -884.0, 2078.0, 1368.0, 449.0, 2014.0, 0
-179.0, -1441.0, 1915.0, 1579.0, 2042.0, -728.0, 1632.0, 275.0, 209.0, 211.0, 1144.0, 1236.0, -1295.0, 2962.0, 2515.0, 1756.0, 1248.0, -343.0, 1861.0, 86.0, 1
2426.0, 1127.0, 452.0, -758.0, -216.0, 81.0, 2129.0, 544.0, 2487.0, -971.0, 1591.0, -45.0, 463.0, -788.0, 1082.0, -889.0, -68.0, 319.0, 845.0, 99.0, 1
