@relation penbased-1
@attribute At1 integer [0, 100]
@attribute At2 integer [0, 100]
@attribute At3 integer [0, 100]
@attribute At4 integer [0, 100]
@attribute At5 integer [0, 100]
@attribute At6 integer [0, 100]
@attribute At7 integer [0, 100]
@attribute At8 integer [0, 100]
@attribute At9 integer [0, 100]
@attribute At10 integer [0, 100]
@attribute At11 integer [0, 100]
@attribute At12 integer [0, 100]
@attribute At13 integer [0, 100]
@attribute At14 integer [0, 100]
@attribute At15 integer [0, 100]
@attribute At16 integer [0, 100]
@attribute Class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@inputs At1, At2, At3, At4, At5, At6, At7, At8, At9, At10, At11, At12, At13, At14, At15, At16
@outputs Class
@data
47, 100, 27, 81, 57, 37, 26, 0, 0, 23, 56, 53, 100, 90, 40, 98, 8
91, 74, 54, 100, 0, 87, 23, 59, 81, 67, 100, 39, 79, 4, 21, 0, 9
63, 100, 40, 73, 70, 63, 100, 77, 79, 74, 55, 48, 29, 23, 0, 0, 4
12, 78, 40, 100, 74, 77, 52, 41, 13, 14, 0, 17, 50, 8, 100, 0, 2
32, 100, 12, 76, 0, 48, 1, 21, 39, 0, 100, 9, 64, 21, 18, 3, 6
39, 100, 23, 82, 0, 52, 1, 21, 48, 0, 100, 16, 70, 42, 6, 55, 6
44, 66, 67, 100, 80, 62, 47, 25, 5, 0, 0, 3, 50, 4, 100, 7, 2
45, 93, 0, 60, 75, 69, 89, 29, 19, 0, 15, 43, 26, 93, 100, 100, 5
52, 91, 72, 100, 87, 70, 57, 43, 100, 45, 90, 15, 43, 0, 0, 12, 3
29, 73, 56, 100, 68, 71, 45, 38, 11, 12, 0, 8, 50, 6, 100, 0, 2
47, 100, 40, 82, 18, 49, 0, 19, 53, 20, 92, 34, 94, 35, 100, 0, 4
54, 93, 0, 88, 54, 46, 70, 0, 5, 9, 54, 52, 100, 96, 7, 100, 8
0, 70, 63, 80, 90, 100, 100, 89, 100, 67, 92, 44, 84, 22, 71, 0, 1
27, 100, 0, 74, 40, 54, 100, 59, 84, 91, 57, 64, 43, 32, 33, 0, 4
100, 100, 68, 96, 38, 70, 14, 44, 0, 14, 36, 0, 51, 23, 3, 28, 6
0, 75, 29, 79, 71, 91, 100, 100, 82, 74, 68, 48, 57, 21, 58, 0, 1
12, 73, 29, 62, 66, 32, 29, 0, 5, 29, 0, 71, 38, 96, 100, 100, 5
52, 100, 29, 73, 0, 47, 19, 42, 69, 37, 100, 54, 90, 30, 88, 0, 4
34, 64, 52, 100, 58, 57, 37, 16, 0, 0, 24, 20, 61, 1, 100, 5, 2
